PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,HeuBug
80,1,0,5,1,FALSE
80,2,3,1,2,FALSE
0,4,0,0,1,FALSE
0,3,0,0,1,FALSE
0,4,0,0,1,FALSE
50,3,2,0,1,FALSE
0,3,0,0,1,FALSE
0,0,0,0,0,FALSE
0,1,0,0,1,FALSE
0,1,0,0,1,FALSE
0,1,0,0,1,FALSE
0,0,0,0,0,FALSE
0,1,0,0,1,FALSE
0,0,0,0,0,FALSE
0,1,0,1,1,FALSE
0,0,0,0,0,FALSE
0,1,0,1,1,FALSE
0,0,0,0,0,FALSE
0,1,0,1,1,FALSE
100,1,0,0,1,FALSE
0,1,0,0,1,FALSE
61,1,0,0,1,FALSE
0,1,0,3,1,FALSE
0,1,0,0,1,FALSE
0,1,0,0,1,FALSE
0,0,0,0,0,FALSE
0,1,0,0,1,FALSE
0,1,0,0,1,FALSE
0,1,0,0,1,FALSE
0,1,0,0,1,FALSE
0,1,0,0,2,FALSE
66,1,0,0,1,FALSE
0,1,0,0,1,FALSE
0,1,0,0,1,FALSE
0,1,0,0,1,FALSE
0,1,0,0,1,FALSE
0,1,0,0,1,FALSE
0,1,0,0,1,FALSE
0,1,0,0,1,FALSE
0,1,0,0,1,FALSE
0,1,0,0,1,FALSE
0,1,0,0,1,FALSE
0,1,0,0,1,FALSE
0,1,0,0,1,FALSE
0,1,0,0,1,FALSE
0,1,0,0,1,FALSE
0,1,0,0,1,FALSE
0,1,0,0,1,FALSE
0,0,0,0,0,FALSE
25,1,0,1,1,FALSE
0,1,1,1,1,FALSE
0,2,1,0,1,FALSE
0,1,0,0,2,FALSE
0,1,0,1,1,FALSE
76,1,0,1,1,FALSE
0,0,0,0,0,FALSE
0,1,0,1,1,FALSE
70,2,0,5,2,TRUE
0,0,0,1,0,FALSE
100,1,0,0,1,FALSE
100,1,0,0,1,FALSE
0,1,0,3,1,FALSE
71,1,0,4,1,FALSE
